City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
1615,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1620,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1624,Sambava,MG,84.02,clear sky,-14.2667,50.1667,Melrose
1627,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1630,Mahibadhoo,MV,82.31,clear sky,3.7833,72.9667,Omadhoo Inn
1632,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1633,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1638,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1639,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1642,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1645,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1648,Takoradi,GH,85.21,few clouds,4.8845,-1.7554,Raybow International Hotel
